acpi 1.7-3
translate-shell 0.9.6.11-2
trizen 1:1.63-1
ttf-all-the-icons 4.0.1-1
ttf-font-awesome 5.14.0-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-2
ttf-inconsolata-hellenic 1.19-1
ttf-roboto 2.138-4
udiskie 2.2.0-2
urxvt-perls 2.3-1
urxvt-resize-font-git 26.e966a5d-1
vi 1:070224-4
volumeicon 0.5.1-5
webcamoid 8.7.1-1
wget 1.20.3-3
wvdial 1.61-8
xautolock 2.2-6
xcape 1.2-4
xdg-desktop-portal-gtk 1.7.1-1
xdg-user-dirs 0.17-3
xdo 0.5.7-2
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-synaptics 1.9.1-2
xf86-input-vmmouse 13.1.0-5
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-nouveau 1.0.16-2
xf86-video-openchrome 0.6.0-4
xf86-video-vesa 2.4.0-3
xf86-video-vmware 13.3.0-2
xfce4-appfinder 4.14.0-2
xfce4-notifyd 0.6.1-1
xfce4-power-manager 1.6.6-1
xfce4-screenshooter 1.9.7-2
xfce4-settings 4.14.3-1
xfce4-taskmanager 1.2.3-1
xfce4-terminal 0.8.9.2-1
xfwm4 4.14.4-1
xl2tpd 1.3.15-2
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-server 1.20.8-3
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xinput 1.6.3-2
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xpr 1.0.5-2
xorg-xrefresh 1.0.6-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwud 1.0.5-2
xsecurelock 1.7.0-1
xss-lock 0.3.0.g1e158fb20108-3
yad 6.0-1
yay-bin 10.0.3-1
zenity 3.32.0+50+gc229637-1
zoom 5.1.422789.0705-1
zsh-completions 0.32.0-1
zsh-syntax-highlighting 0.7.1-1
